	X	PlayerID	Player.Name	Season	PT2M_0	PT2M_1	PT2M_2	PT2M_3	PT2M_4	PT2M_5	PT2M_6	PT2M_7	PT2M_8	PT2M_9	PT2M_10	PT2M_11	PT2M_12	PT2M_13	PT2M_14	PT2M_15	PT2M_16	PT2M_17	PT2M_18	PT2M_19	PT2M_20	PT2M_21	PT2M_22	PT2M_23	PT2M_24	PT2A_0	PT2A_1	PT2A_2	PT2A_3	PT2A_4	PT2A_5	PT2A_6	PT2A_7	PT2A_8	PT2A_9	PT2A_10	PT2A_11	PT2A_12	PT2A_13	PT2A_14	PT2A_15	PT2A_16	PT2A_17	PT2A_18	PT2A_19	PT2A_20	PT2A_21	PT2A_22	PT2A_23	PT2A_24	PT3M_22	PT3M_23	PT3M_24	PT3M_25	PT3M_26	PT3M_27	PT3M_28	PT3M_29	PT3M_30	PT3M_31	PT3M_32	PT3M_33	PT3M_34	PT3M_35	PT3M_36	PT3M_37	PT3M_38	PT3A_22	PT3A_23	PT3A_24	PT3A_25	PT3A_26	PT3A_27	PT3A_28	PT3A_29	PT3A_30	PT3A_31	PT3A_32	PT3A_33	PT3A_34	PT3A_35	PT3A_36	PT3A_37	PT3A_38
787	A	203463	Ben McLemore	2013-14	3	5	14	11	23	19	13	3	3	3	2	0	3	0	3	2	4	3	8	6	3	6	6	7	4	4	11	26	28	44	35	26	14	13	7	5	1	5	1	8	3	6	7	13	11	25	25	20	24	8	12	11	20	29	16	2	2	0	0	0	0	0	0	0	0	0	1	29	38	62	67	61	12	8	1	1	0	0	0	1	1	0	0	1
788	A	203463	Ben McLemore	2014-15	1	3	18	11	26	14	10	4	1	1	2	3	2	3	0	3	3	6	4	4	4	5	3	2	2	2	6	20	19	36	26	19	8	5	6	4	7	4	3	2	7	5	8	7	16	11	18	11	5	4	15	17	14	29	12	6	0	0	1	0	0	0	0	1	0	0	0	30	49	58	58	45	15	2	0	1	0	0	0	0	2	0	0	0
789	A	203467	Carrick Felix	2013-14	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
790	A	203468	CJ McCollum	2013-14	0	1	1	7	3	1	3	2	0	2	2	0	3	1	3	3	6	2	0	1	1	2	0	0	0	0	3	1	11	5	6	9	3	0	2	4	3	7	2	4	3	9	5	5	1	2	11	2	0	0	0	5	9	10	6	0	0	0	0	0	0	0	0	0	0	0	0	2	10	28	24	12	0	1	0	1	0	1	0	0	0	0	0	0
791	A	203468	CJ McCollum	2014-15	0	2	2	5	6	2	1	2	1	2	2	1	2	1	0	0	1	0	2	1	2	0	0	1	1	1	3	6	9	10	3	4	5	3	3	2	3	6	5	1	2	5	1	10	2	7	3	1	1	1	4	6	10	6	3	0	1	0	0	0	0	0	0	0	0	0	0	9	18	18	14	12	2	1	0	0	0	0	0	0	1	0	0	0
792	A	203469	Cody Zeller	2013-14	2	16	27	27	25	12	9	2	6	0	2	0	1	0	0	2	3	3	3	1	8	15	6	0	0	3	24	48	43	46	26	31	8	14	1	8	3	3	1	2	3	5	9	15	10	25	44	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
793	A	203469	Cody Zeller	2014-15	1	12	19	15	19	13	7	2	3	0	1	0	2	0	1	0	1	0	2	5	13	17	8	0	0	4	19	28	28	38	29	13	7	7	1	6	0	2	1	3	2	2	2	10	12	30	53	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
794	A	203471	Dennis Schroder	2013-14	0	2	3	5	9	4	7	4	4	2	3	2	1	1	1	1	2	3	1	3	0	0	0	0	0	0	4	5	9	15	14	16	9	10	4	10	3	2	2	2	5	4	6	3	9	3	0	1	0	3	2	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	5	22	4	3	0	0	0	0	0	1	1	0	0	0	0	0
795	A	203471	Dennis Schroder	2014-15	0	2	8	16	29	24	16	10	6	1	1	1	1	1	1	1	4	9	9	7	3	1	0	1	1	0	3	12	27	50	48	38	20	20	5	6	2	3	1	3	1	7	16	22	15	19	1	1	1	1	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	52	7	2	3	0	3	0	0	1	0	0	0	1	0	0
796	A	203473	Dewayne Dedmon	2013-14	1	3	8	8	6	3	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	2	4	16	12	13	7	1	2	2	4	2	1	2	1	1	1	2	3	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
