	teamAbb	PTM2_1ft	PTM2_3ft	PTM2_5ft	PTM2_7ft	PTM2_9ft	PTM2_11ft	PTM2_13ft	PTM2_15ft	PTM2_17ft	PTM2_19ft	PTM2_21ft	PTM2_23ft	PTM3_23ft	PTM3_25ft	PTM3_27ft	PTA2_1ft	PTA2_3ft	PTA2_5ft	PTA2_7ft	PTA2_9ft	PTA2_11ft	PTA2_13ft	PTA2_15ft	PTA2_17ft	PTA2_19ft	PTA2_21ft	PTA2_23ft	PTA3_23ft	PTA3_25ft	PTA3_27ft	PTD2_1ft	PTD2_3ft	PTD2_5ft	PTD2_7ft	PTD2_9ft	PTD2_11ft	PTD2_13ft	PTD2_15ft	PTD2_17ft	PTD2_19ft	PTD2_21ft	PTD2_23ft	PTD3_23ft	PTD3_25ft	PTD3_27ft	PTT2_1ft	PTT2_3ft	PTT2_5ft	PTT2_7ft	PTT2_9ft	PTT2_11ft	PTT2_13ft	PTT2_15ft	PTT2_17ft	PTT2_19ft	PTT2_21ft	PTT2_23ft	PTT3_23ft	PTT3_25ft	PTT3_27ft
BKN_2014-15_Playoffs_Def	BKN_2014-15_Playoffs_Def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOS_2013-14_Regular_Off	BOS_2013-14_Regular_Off	280	486	312	174	91	68	74	116	162	185	196	60	203	253	34	440	808	624	433	274	174	192	270	383	458	481	151	521	777	114	1080.3999999999999	2237.3000000000006	1519.4	1053.9	745.4	628.2000000000002	729.4000000000001	1213.6999999999998	1933.1	2366.0	2365.6	835.7	3372.8999999999996	4999.400000000001	634.4000000000001	4404.000000000001	9795.200000000003	7552.800000000001	5041.4000000000015	2910.7999999999997	1714.4999999999998	1857.9000000000003	2658.8000000000006	4109.299999999999	5171.4	5336.500000000001	1630.1	5989.199999999999	8864.600000000002	1034.0000000000002
BOS_2013-14_Regular_Def	BOS_2013-14_Regular_Def	347	580	386	203	129	89	74	95	143	187	138	33	155	287	33	530	903	727	464	306	226	164	231	354	450	340	105	435	812	102	1393.9	2545.6000000000013	1817.3000000000009	1161.100000000001	875.1999999999999	764.9999999999998	594.6999999999999	1027.1000000000001	1677.5000000000007	2255.2999999999997	1706.6	539.0	2704.400000000001	5136.299999999999	546.9999999999999	5549.1	11190.900000000001	9006.8	5189.699999999999	3362.500000000001	2377.6999999999994	1638.0000000000005	2396.4999999999986	3885.0000000000005	5001.500000000001	3621.9999999999977	1069.2999999999997	4974.4000000000015	9614.1	1046.7
BOS_2013-14_Playoffs_Off	BOS_2013-14_Playoffs_Off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOS_2013-14_Playoffs_Def	BOS_2013-14_Playoffs_Def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOS_2014-15_Regular_Off	BOS_2014-15_Regular_Off	247	464	270	172	104	53	55	92	158	142	124	42	175	293	25	394	732	551	381	282	158	139	225	352	353	312	108	471	874	107	946.0999999999999	2118.2000000000003	1358.6	933.9	778.0	503.20000000000016	542.4999999999999	957.2	1664.6999999999998	1692.0	1490.3999999999999	587.0999999999999	2790.5000000000005	5314.6	594.4	4521.700000000001	9726.599999999999	7214.2	4492.3	3350.099999999999	1673.1000000000004	1626.1000000000004	2422.5000000000005	4323.5	4312.000000000001	3626.000000000001	1214.3000000000002	5777.199999999999	11195.0	1121.3999999999996
BOS_2014-15_Regular_Def	BOS_2014-15_Regular_Def	267	452	300	175	116	77	66	87	119	141	90	29	159	257	40	381	732	576	413	283	191	161	207	274	388	256	77	434	730	103	935.9000000000004	1893.3	1385.9000000000003	969.7	816.0999999999997	619.7	636.4999999999998	817.1000000000001	1329.1999999999994	2001.900000000001	1348.4999999999995	383.8999999999999	2712.2000000000007	4360.299999999999	524.5	4020.3000000000006	9238.299999999997	6980.199999999996	4519.899999999999	2885.9000000000005	1987.4000000000005	1508.9999999999998	2190.499999999999	3109.4000000000015	4227.600000000001	2733.599999999999	749.3000000000002	5035.100000000002	8503.700000000006	933.6999999999997
BOS_2014-15_Playoffs_Off	BOS_2014-15_Playoffs_Off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOS_2014-15_Playoffs_Def	BOS_2014-15_Playoffs_Def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHA_2013-14_Regular_Off	CHA_2013-14_Regular_Off	219	537	411	212	154	98	79	158	201	187	125	27	153	287	49	346	855	744	478	385	263	221	366	507	549	357	81	393	819	140	862.9	2286.7999999999997	1800.1999999999996	1184.8999999999996	1101.7	831.6999999999999	814.7999999999997	1550.0999999999992	2349.3	2685.5	1953.9000000000003	463.70000000000005	2230.7000000000003	5181.3	844.3000000000002	3257.0	9021.300000000001	8025.999999999999	4739.600000000001	3862.5000000000005	2444.7999999999997	2234.9000000000005	3674.1999999999994	5044.2	5629.2	3366.4000000000005	613.0	3875.3	7932.1	1003.5999999999999
CHA_2013-14_Regular_Def	CHA_2013-14_Regular_Def	238	483	330	198	124	81	93	114	161	185	138	38	205	344	33	391	774	644	511	372	215	186	259	347	496	347	113	503	899	129	945.7000000000004	2106.7999999999997	1628.5000000000005	1268.2	1062.0	683.4000000000002	705.4999999999994	1105.5000000000005	1636.3000000000002	2521.699999999999	1761.0000000000002	594.6999999999999	3058.3000000000015	5333.700000000001	684.6	3525.1000000000013	8624.199999999999	7320.0	5123.799999999997	3566.0000000000005	1982.3000000000006	1716.2999999999997	2553.100000000001	3399.499999999998	5110.500000000003	3466.599999999999	1157.3999999999994	5529.5	9928.399999999996	1080.8000000000002
